source_file | category | chunks | text_chunks | table_chunks | image_chunks | min_page | max_page | total_chars
------------------------------------------------------------------------------------------------------------------------
ABB_ABB_CommManual_KO_2.pdf | 3_hmi | 15 | 9 | 0 | 6 | 1 | 6 | 4494
ABB_ABB_CommManual_KO.pdf | 2_sensor | 9 | 4 | 0 | 5 | 1 | 5 | 2310
ABB_ABB_CommManual_KO.pdf | 3_hmi | 6 | 4 | 0 | 2 | 5 | 7 | 2056
ABB_ABB_InstallGuide_EN_2.pdf | 2_sensor | 473 | 341 | 14 | 118 | 1 | 129 | 239403
ABB_ABB_InstallGuide_EN_3.pdf | 2_sensor | 7 | 5 | 1 | 1 | 1 | 1 | 3934
ABB_ABB_InstallGuide_EN_4.pdf | 2_sensor | 82 | 50 | 7 | 25 | 1 | 31 | 29768
ABB_ABB_InstallGuide_EN_5.pdf | 2_sensor | 24 | 18 | 0 | 6 | 1 | 6 | 12435
ABB_ABB_InstallGuide_EN_6.pdf | 2_sensor | 458 | 325 | 14 | 119 | 1 | 129 | 224609
ABB_ABB_InstallGuide_EN.pdf | 2_sensor | 44 | 42 | 0 | 2 | 1 | 2 | 32961
ABB_ABB_MaintenanceManual_EN.pdf | 2_sensor | 43 | 41 | 0 | 2 | 1 | 2 | 31302
ABB_ABB_Manual_EN_2.pdf | 1_robot | 14 | 12 | 2 | 0 | None | None | 3815
ABB_ABB_Manual_EN.pdf | 1_robot | 28 | 14 | 2 | 12 | 1 | 14 | 3066
ABB_ABB_ParameterManual_EN.pdf | 2_sensor | 50 | 45 | 0 | 5 | 1 | 16 | 30301
ABB_ABB_SetupGuide_EN.pdf | 2_sensor | 95 | 72 | 0 | 23 | 1 | 23 | 49033
ABB_ABB_UserManual_EN.pdf | 2_sensor | 416 | 329 | 0 | 87 | 1 | 112 | 219345
ABB_DALSA-G_InstallGuide_EN.pdf | 2_sensor | 276 | 276 | 0 | 0 | None | None | 224266
ABB_MX4_Manual_KO.pdf | 2_sensor | 6 | 6 | 0 | 0 | None | None | 4647
ABB_MX4_UserManual_EN.pdf | 2_sensor | 269 | 269 | 0 | 0 | None | None | 222718
ABB_PCI_InstallGuide_EN.pdf | 2_sensor | 5 | 5 | 0 | 0 | None | None | 3508
ABB_SENSICK_MaintenanceManual_EN.pdf | 2_sensor | 33 | 33 | 0 | 0 | None | None | 32734
ABB_TOP_Manual_KO_2.pdf | 3_hmi | 9 | 9 | 0 | 0 | None | None | 4534
ABB_TOP_Manual_KO.pdf | 3_hmi | 8 | 8 | 0 | 0 | None | None | 4521
ABB_Unknown_CommManual_EN_2.pdf | 6_plc | 230 | 137 | 93 | 0 | None | None | 125802
ABB_Unknown_CommManual_EN.pdf | 6_plc | 221 | 129 | 92 | 0 | None | None | 118080
ABB_Unknown_InstallGuide_EN.pdf | 2_sensor | 17 | 17 | 0 | 0 | None | None | 13133
ABB_Unknown_ParameterManual_EN_2.pdf | 6_plc | 130 | 113 | 17 | 0 | None | None | 97026
ABB_Unknown_ParameterManual_EN.pdf | 2_sensor | 37 | 37 | 0 | 0 | None | None | 31422
ABB_Unknown_SetupGuide_EN.pdf | 2_sensor | 60 | 60 | 0 | 0 | None | None | 50906
ABB_Unknown_UserManual_EN.pdf | 2_sensor | 265 | 265 | 0 | 0 | None | None | 209761
ACS_ACS_CommManual_KO_2.pdf | 8_etc | 7 | 7 | 0 | 0 | None | None | 1690
ACS_ACS_CommManual_KO_3.pdf | 8_etc | 6 | 6 | 0 | 0 | None | None | 3161
ACS_ACS_CommManual_KO.pdf | 8_etc | 6 | 6 | 0 | 0 | None | None | 3147
ACS_ACSPL_SetupGuide_EN.pdf | 8_etc | 945 | 752 | 193 | 0 | None | None | 758978
ACS_ACS_SetupGuide_KO.pdf | 8_etc | 9 | 9 | 0 | 0 | None | None | 3534
ACS_COM_CommManual_EN_2.pdf | 8_etc | 1074 | 823 | 251 | 0 | None | None | 613507
ACS_COM_CommManual_EN.pdf | 8_etc | 1271 | 1011 | 260 | 0 | None | None | 590882
ACS_IOM_WiringGuide_EN.pdf | 8_etc | 4 | 3 | 1 | 0 | None | None | 3022
ACS_MC4U_SetupGuide_EN.pdf | 8_etc | 14 | 13 | 1 | 0 | None | None | 9191
ACS_PDM_CommManual_EN.pdf | 8_etc | 10 | 10 | 0 | 0 | None | None | 2570
ACS_RTU_CommManual_KO.pdf | 6_plc | 22 | 21 | 1 | 0 | None | None | 7058
ACS_SAR-LT_CommManual_EN.pdf | 8_etc | 282 | 160 | 122 | 0 | None | None | 221535
ACS_SDM_CommManual_EN.pdf | 8_etc | 15 | 14 | 1 | 0 | None | None | 6292
ACS_Unknown_CommManual_EN_2.pdf | 8_etc | 306 | 170 | 136 | 0 | None | None | 230082
ACS_Unknown_CommManual_EN.pdf | 8_etc | 62 | 46 | 16 | 0 | None | None | 39161
ACS_Unknown_CommManual_KO_2.pdf | 6_plc | 6 | 6 | 0 | 0 | None | None | 3763
ACS_Unknown_CommManual_KO.pdf | 3_hmi | 14 | 14 | 0 | 0 | None | None | 5854
ACS_Unknown_SetupGuide_EN.pdf | 8_etc | 297 | 269 | 28 | 0 | None | None | 238475
Applied Motion_TSM23S-Q_InstallGuide_EN.pdf | 4_servo | 88 | 58 | 30 | 0 | None | None | 93180
Applied Motion_TSM_ParameterManual_EN.pdf | 4_servo | 29 | 25 | 4 | 0 | None | None | 12775
Autonics_PR12-4DN_InstallGuide_KO.pdf | 2_sensor | 9 | 9 | 0 | 0 | None | None | 8134
Beckhoff_BK7300_ParameterManual_EN.pdf | 6_plc | 114 | 81 | 33 | 0 | None | None | 89584
Beckhoff_BK9000_ParameterManual_EN.pdf | 6_plc | 28 | 18 | 10 | 0 | None | None | 16209
Beckhoff_CAT_CommManual_EN.pdf | 4_servo | 599 | 553 | 46 | 0 | None | None | 229239
Beckhoff_DO0049R01-MGW_UserManual_EN.pdf | 6_plc | 59 | 37 | 22 | 0 | None | None | 43660
Beckhoff_EM3E-B_UserManual_EN.pdf | 4_servo | 279 | 80 | 199 | 0 | None | None | 451294
Beckhoff_Unknown_CommManual_KO.pdf | 8_etc | 777 | 398 | 379 | 0 | None | None | 504516
Beckhoff_Unknown_InstallGuide_EN.pdf | 6_plc | 46 | 45 | 1 | 0 | None | None | 37332
Beckhoff_Unknown_SetupGuide_EN.pdf | 8_etc | 19 | 15 | 4 | 0 | None | None | 7458
BoschRexroth_TOP_Manual_KO.pdf | 3_hmi | 22 | 22 | 0 | 0 | None | None | 14817
Bosch_TOP_ParameterManual_KO.pdf | 3_hmi | 41 | 24 | 4 | 13 | 1 | 13 | 16711
Cognex_Unknown_InstallGuide_EN_2.pdf | 1_robot | 210 | 51 | 159 | 0 | None | None | 368901
Cognex_Unknown_InstallGuide_EN_3.pdf | 1_robot | 177 | 42 | 135 | 0 | None | None | 324484
Cognex_Unknown_InstallGuide_EN_4.pdf | 1_robot | 210 | 51 | 159 | 0 | None | None | 368901
Cognex_Unknown_InstallGuide_EN_5.pdf | 1_robot | 210 | 51 | 159 | 0 | None | None | 368901
Cognex_Unknown_InstallGuide_EN.pdf | 1_robot | 294 | 87 | 207 | 0 | None | None | 515012
Cognex_Unknown_Manual_KO.pdf | 1_robot | 111 | 36 | 75 | 0 | None | None | 153486
Crevis_NA-9286_ParameterManual_EN_2.pdf | 6_plc | 2 | 2 | 0 | 0 | None | None | 889
Crevis_NA-9286_ParameterManual_EN.pdf | 6_plc | 2 | 2 | 0 | 0 | None | None | 883
Crevis_Unknown_Safety_KO.pdf | 8_etc | 92 | 92 | 0 | 0 | None | None | 26775
Delta_DELTA_CommManual_KO.pdf | 3_hmi | 11 | 5 | 3 | 3 | 1 | 3 | 2719
Delta_DELTA_Manual_KO.pdf | 3_hmi | 4 | 4 | 0 | 0 | None | None | 2176
Delta_PMAC_FirmwareNote_EN.pdf | 8_etc | 18 | 17 | 1 | 0 | None | None | 14076
Delta_PMAC_ProgrammingManual_KO.pdf | 8_etc | 269 | 260 | 9 | 0 | None | None | 114234
Delta_TOP_CommManual_KO.pdf | 3_hmi | 11 | 5 | 3 | 3 | 1 | 3 | 2692
Delta_TOP_Manual_KO.pdf | 3_hmi | 4 | 4 | 0 | 0 | None | None | 2163
EtherCAT_CAT_Reference_EN.pdf | 4_servo | 181 | 174 | 7 | 0 | None | None | 60034
EtherCAT_CODESYS-C_SetupGuide_KO.pdf | 6_plc | 10 | 10 | 0 | 0 | None | None | 5123
EtherCAT_CODESYS-RTE-SL_CommManual_KO.pdf | 6_plc | 6 | 6 | 0 | 0 | None | None | 1644
EtherCAT_CVS-18-04_CommManual_KO.pdf | 8_etc | 28 | 24 | 4 | 0 | None | None | 21447
EtherCAT_PNOZ_Safety_KO.pdf | 7_pneumatic | 13 | 12 | 1 | 0 | None | None | 7927
EtherCAT_PNOZ_WiringGuide_EN.pdf | 8_etc | 22 | 22 | 0 | 0 | None | None | 16252
FANUC_FANUC_ParameterManual_KO_2.pdf | 3_hmi | 13 | 7 | 0 | 6 | 1 | 7 | 4259
FANUC_FANUC_ParameterManual_KO.pdf | 3_hmi | 20 | 11 | 0 | 9 | 1 | 9 | 6656
FANUC_TOP_CommManual_KO.pdf | 3_hmi | 12 | 12 | 0 | 0 | None | None | 6715
FANUC_Unknown_CommManual_KO.pdf | 3_hmi | 8 | 8 | 0 | 0 | None | None | 4397
Fastech_CAT_CommManual_KO_2.pdf | 4_servo | 162 | 68 | 94 | 0 | None | None | 114453
Fastech_CAT_CommManual_KO_3.pdf | 4_servo | 243 | 93 | 150 | 0 | None | None | 235487
Fastech_CAT_CommManual_KO.pdf | 4_servo | 188 | 87 | 101 | 0 | None | None | 137197
Fastech_ENI_CommManual_KO.pdf | 4_servo | 18 | 17 | 1 | 0 | None | None | 3064
Fastech_MOTIONLINK_CommManual_KO.pdf | 4_servo | 300 | 193 | 107 | 0 | None | None | 305523
Fastech_MOTIONLINK_Manual_KO_2.pdf | 4_servo | 59 | 28 | 31 | 0 | None | None | 60023
Fastech_MOTIONLINK_Manual_KO.pdf | 4_servo | 35 | 19 | 16 | 0 | None | None | 30434
Fastech_MOTIONLINK_SetupGuide_KO.pdf | 4_servo | 13 | 6 | 7 | 0 | None | None | 13416
Fastech_SERVOII_CommManual_KO_2.pdf | 4_servo | 33 | 33 | 0 | 0 | None | None | 5601
Fastech_SERVOII_CommManual_KO_3.pdf | 4_servo | 10 | 2 | 8 | 0 | None | None | 8295
Fastech_SERVOII_CommManual_KO_4.pdf | 4_servo | 57 | 39 | 18 | 0 | None | None | 23172
Fastech_SERVOII_CommManual_KO_5.pdf | 4_servo | 487 | 292 | 195 | 0 | None | None | 252837
Fastech_SERVOII_CommManual_KO_6.pdf | 4_servo | 28 | 28 | 0 | 0 | None | None | 8933
Fastech_SERVOII_CommManual_KO.pdf | 4_servo | 24 | 10 | 14 | 0 | None | None | 22357
Fastech_SERVOII_Manual_KO_2.pdf | 4_servo | 39 | 39 | 0 | 0 | None | None | 27295

... 외 946건 (총 1046건)
